$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_106,/Place/BikePoints_106,"Woodstock Street, Mayfair",BikePoint,51.514105,-0.147301
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_107,/Place/BikePoints_107,"Finsbury Leisure Centre, St. Luke's",BikePoint,51.526008,-0.096317
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_108,/Place/BikePoints_108,"Abbey Orchard Street, Westminster",BikePoint,51.498125,-0.132102
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_109,/Place/BikePoints_109,"Soho Square , Soho",BikePoint,51.515631,-0.132328
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_110,/Place/BikePoints_110,"Wellington Road, St. John's Wood",BikePoint,51.533043,-0.172528
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_111,/Place/BikePoints_111,"Park Lane , Hyde Park",BikePoint,51.510017,-0.157275
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_112,/Place/BikePoints_112,"Stonecutter Street, Holborn",BikePoint,51.515809,-0.10527
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_113,/Place/BikePoints_113,"Gloucester Road (Central), South Kensington",BikePoint,51.496462,-0.183289
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_114,/Place/BikePoints_114,"Park Road (Baker Street), The Regent's Park",BikePoint,51.524517,-0.158963
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_115,/Place/BikePoints_115,"Braham Street, Aldgate",BikePoint,51.514233,-0.073537
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_116,/Place/BikePoints_116,"Little Argyll Street, West End",BikePoint,51.514499,-0.141423
